Name,Date,Image,MoreImages,Pattern,Tags,Notes
Hungary baby top,2/22/2014,/assets/images/textiles/hungaryshirt.jpg,/assets/images/textiles/hungaryshirt_tie.jpg,Purl Soho Newborn Wrap Shirt,"Baby, Tops, Folkwear",
Baby's Bestiary,1/19/2014,/assets/images/textiles/babybestiary.jpg,/assets/images/textiles/babybestiary2.jpg|/assets/images/textiles/babybestiary3.jpg|/assets/images/textiles/babybestiary4.jpg|/assets/images/textiles/babybestiary5.jpg,,"Baby, Book",
Occident shirt,4/5/2013,/assets/images/textiles/occidentshirt.jpg,/assets/images/textiles/occidentshirt2.jpg,Folkwear 102 French Cheesemaker's Smock,"Tops, Custom fabric",
Japanese swatch jacket,4/17/2013,/assets/images/textiles/japaneseswatch.jpg,/assets/images/textiles/japaneseswatch2.jpg,,"Jackets, Custom fabric",
Fish fleece,2/11/2013,/assets/images/textiles/fishfleece.jpg,,,Jackets,
Geometric fleece,1/13/2013,/assets/images/textiles/geometricfleece.jpg,,,Jackets,
Fuzzy set theory,1/13/2013,/assets/images/textiles/fuzzysettheory.jpg,,,Jackets,
Black-and-white skirt,1/13/2013,/assets/images/textiles/bwskirt.jpg,,,Skirts,
Abstract sushi fleece,1/13/2013,/assets/images/textiles/abstractsushi.jpg,,,Jackets,
Freak flags,12/21/2012,/assets/images/textiles/freakflags.jpg,,,Accessories,
Bamboo pants,12/2/2012,/assets/images/textiles/bamboopants.jpg,,,Pants,
Misfit fabric tunic,12/2/2012,/assets/images/textiles/misfitfabric.jpg,,,"Tops, Custom fabric",
Berkeley but winter,12/2/2012,/assets/images/textiles/berkeleywinter.jpg,,,"Baby, Accessories",
Swatch baby dress,11/11/2012,/assets/images/textiles/swatchbaby.jpg,/assets/images/textiles/swatchbaby2.jpg,,"Baby, Dresses, Custom fabric",
Digital Slavic shirt,11/11/2012,/assets/images/textiles/digitalslavic.jpg,/assets/images/textiles/digitalslavic2.jpg,Folkwear 104 Egyptian Shirt,"Tops, Slavic",
Japanese swatch skirt,11/10/2012,/assets/images/textiles/swatchskirt.jpg,/assets/images/textiles/swatchskirt2.jpg,,"Skirts, Custom fabric",
War hammer,11/9/2012,/assets/images/textiles/warhammer.jpg,/assets/images/textiles/warhammer2.jpg,,Tops,"A bartender at 4 Hands in St Louis liked Andy's shirt, so I offered to make him one, inspired by their War Hammer beer."
"Arcata Collection, piece 2",11/4/2012,/assets/images/textiles/arcata2.jpg,,Folkwear 104 Egyptian Shirt,Tops,
"Arcata Collection, piece 1",10/27/2012,/assets/images/textiles/arcata1.jpg,,Folkwear 104 Egyptian Shirt,Tops,
A Slavist's daughter,11/10/2012,/assets/images/textiles/slavistdaughter.jpg,,,"Baby, Tops, Pants",
Glagolitic tie,4/17/2012,/assets/images/textiles/glagolitictie.jpg,,,"Accessories, Custom fabric, Slavic",
Bulgarian dataviz,3/27/2012,/assets/images/textiles/bulgariandataviz.jpg,,,"Tops, Skirts, Slavic, Custom fabric",
Fat cat,2/26/2012,/assets/images/textiles/fatcat.jpg,,,Accessories,
Russian fairy tale shirt,2/23/2012,/assets/images/textiles/skazkishirt.jpg,/assets/images/textiles/skazkishirt2.jpg,,"Tops, Custom fabric, Slavic",
xkcd ErgoBaby cover,2/17/2014,/assets/images/textiles/ergobaby.jpg,,,"Accessories, Custom fabric",
Birchbarkephant,12/12/2011,/assets/images/textiles/birchbarkephant.jpg,/assets/images/textiles/birchbarkephant2.jpg,,"Accessories, Custom fabric, Slavic",
Glagolitic top,12/11/2011,/assets/images/textiles/glagolitictop.jpg,/assets/images/textiles/glagolitictop2.jpg,,"Tops, Custom fabric, Slavic",
Owls and elephants,11/28/2011,/assets/images/textiles/owlselephants.jpg,,,"Vests, Skirts, Kids",
Techb@r tie,10/23/2011,/assets/images/textiles/techboartie.jpg,,,"Accessories, Custom fabric",
Open source scrap jacket,10/4/2011,/assets/images/textiles/osscrapjacket.jpg,/assets/images/textiles/osscrapjacket2.jpg|/assets/images/textiles/osscrapjacket3.jpg,,"Jackets, Custom fabric",
Matryoshka jacket,10/4/2011,/assets/images/textiles/matryoshkajacket.jpg,,,"Jackets, Slavic",
Matryoshka skirt,10/4/2011,/assets/images/textiles/matryoshkaskirt.jpg,,,"Skirts, Slavic",
Burial of the Count of Orgaz,10/4/2011,/assets/images/textiles/countorgaz.jpg,,,"Tops, Custom fabric",
Pink fish vest,9/25/2011,/assets/images/textiles/pinkfish.jpg,,,"Vests, Kids, Custom fabric",
Superhero dress and bag,9/25/2011,/assets/images/textiles/superherodressbag.jpg,,,"Kids, Dresses, Accessories",
Toddler outfit in blue,9/6/2011,/assets/images/textiles/toddlerblue.jpg,,,"Kids, Tops, Shorts",
Toddler outfit in grapes,9/2/2011,/assets/images/textiles/toddlergrapes.jpg,,,"Kids, Tops, Shorts, Custom fabric",
Medievalist skirt,8/27/2011,/assets/images/textiles/medievalistskirt.jpg,,,"Skirts, Custom fabric",
Plaid alphabet purse,8/20/2011,/assets/images/textiles/plaidalphabetpurse.jpg,,,"Accessories, Custom fabric",
Chicago Sunday vest,5/15/2011,/assets/images/textiles/chicagosundayvest.jpg,,,"Vests, Custom fabric, Kids",
Frogr mascot,5/14/2011,/assets/images/textiles/frogrmascot.jpg,,,"Accessories, Custom fabric","I sewed this stuffie version of the Frogr mascot (Linux Flickr uploader software) and mailed it to the developer, Mario Sánchez Prada, in Spain."
Onfim vest,5/14/2011,/assets/images/textiles/onfimvest.jpg,,,"Vests, Custom fabric, Kids","I sent this to the developer of one of my favorite pieces of software, Mario Sánchez Prada, for his son, along with the stuffie of his software mascot."
Ode to literacy,5/9/2011,/assets/images/textiles/odeliteracy.jpg,,,"Vests, Custom fabric, Kids",
Giant cuddly oversized birchbark letters,4/21/2011,/assets/images/textiles/bblstuffies.jpg,,,"Accessories, Custom fabric, Slavic",
Iconophant,4/20/2011,/assets/images/textiles/iconophant.jpg,/assets/images/textiles/iconophant2.jpg,,"Accessories, Custom fabric, Slavic",
Android hat,1/25/2011,/assets/images/textiles/androidhat.jpg,/assets/images/textiles/androidhat2.jpg,,"Accessories, Custom fabric",
Birchbark hat,1/25/2011,/assets/images/textiles/birchbarkhat.jpg,,,"Accessories, Custom fabric, Slavic",
Twirly Turkic,11/27/2010,/assets/images/textiles/twirlyturkic.jpg,,,"Kids, Skirts, Custom fabric",
Mini medievalist skirt,11/27/2010,/assets/images/textiles/minimedievalist.jpg,,,"Baby, Skirts, Custom fabric, Slavic",
Birchbark letter tie,11/27/2010,/assets/images/textiles/bbltie.jpg,,,"Accessories, Custom fabric, Slavic",
Kul tigin shirt,11/25/2010,/assets/images/textiles/kultiginshirt.jpg,,,"Tops, Custom fabric",
xkcd shirt,11/24/2010,/assets/images/textiles/xkcdshirt.jpg,,,"Tops, Custom fabric",
BBL 206 shirt,11/24/2010,/assets/images/textiles/bbl206shirt.jpg,,,"Tops, Custom fabric, Slavic",
xkcdphant,11/24/2010,/assets/images/textiles/xkcdphant.jpg,/assets/images/textiles/xkcdphant2.jpg,,"Accessories, Custom fabric",
Surrealist elephant sisters,10/12/2010,/assets/images/textiles/surrealistelephants.jpg,/assets/images/textiles/surrealistelephants2.jpg|/assets/images/textiles/surrealistelephants3.jpg,,Accessories,
Fuzzy zebra shirt,10/3/2010,/assets/images/textiles/fuzzyzebra.jpg,,,Tops,
Watermark embroidered tie,7/28/2010,/assets/images/textiles/watermarktie.jpg,,,"Accessories, Embroidery",
Eating Ralph Lauren,7/14/2010,/assets/images/textiles/ralphlauren.jpg,,,"Tops, Embroidery",
Sundress,7/12/2010,/assets/images/textiles/sundress.jpg,,,Dresses,
Dragon shirt,5/28/2010,/assets/images/textiles/dragonshirt.jpg,,,Tops,
Purple overalls,5/9/2010,/assets/images/textiles/purpleoveralls.jpg,,,"Pants, Kids",
Portuguese man o' war,5/5/2010,/assets/images/textiles/manowar.jpg,,,Accessories,
A top for Adaline,4/8/2010,/assets/images/textiles/adalinetop.jpg,,,"Baby, Tops",
Easter top,4/4/2010,/assets/images/textiles/eastertop.jpg,,,Tops,
Purple outfit,3/21/2010,/assets/images/textiles/purpleoutfit.jpg,,,"Kids, Pants, Tops",
Watermark skirt,3/10/2010,/assets/images/textiles/watermarkskirt.jpg,/assets/images/textiles/watermarkskirt2.jpg,,"Skirts, Embroidery",
Matching Akkadian,9/28/2014,/assets/images/textiles/akkadian.jpg,,,"Kids, Pants, Tops, Custom fabric",
Hand-dye top,10/17/2014,/assets/images/textiles/handdyetop.jpg,,,Tops,
Halloween top,11/1/2014,/assets/images/textiles/halloweenskeletons.jpg,,,Tops,
Very Hungry Caterpillar top,10/17/2014,/assets/images/textiles/caterpillartop.jpg,,,Tops,
Very Hungry Caterpillar vest,10/17/2014,/assets/images/textiles/caterpillarvest.jpg,,,"Kids, Vests",
Bi-orthography circle skirt,12/21/2014,/assets/images/textiles/orthocircleskirt.jpg,,,"Kids, Skirts, Slavic",
"Rockets, robots, and fish",12/21/2014,/assets/images/textiles/rocketsrobotsfish.jpg,,,"Kids, Accessories",
Emperor shirt,12/26/2014,/assets/images/textiles/emperorshirt.jpg,,Folkwear 104 Egyptian Shirt,Tops,
Toddler tie-dye,1/10/2015,/assets/images/textiles/toddlertiedye.jpg,,,"Tops, Kids",
Super toddler,1/11/2015,/assets/images/textiles/supertoddler.jpg,,,"Tops, Kids",
Geometric toddler sweatshirt,1/24/2015,/assets/images/textiles/geometrictoddler.jpg,,,"Jackets, Kids",
Owl toddler sweatshirt,1/24/2015,/assets/images/textiles/owltoddler.jpg,,,"Jackets, Kids",
Rainbow pants,1/25/2015,/assets/images/textiles/rainbowpants.jpg,,,"Pants, Kids, Matching",
Blue Thai blouse,1/25/2015,/assets/images/textiles/bluethai.jpg,,Folkwear 134 South Asian Tops & Wraps,Tops,
The very hungry hippari,1/31/2015,/assets/images/textiles/caterpillarhippari.jpg,,Folkwear 112 Japanese Field Clothing,,
Adventure bags,3/7/2015,/assets/images/textiles/adventurebags.jpg,,,"Accessories, Kids",
Matching Easter outfits,4/4/2015,/assets/images/textiles/matchingeaster.jpg,,,"Pants, Tops, Kids, Matching",
Easter shirt,4/4/2015,/assets/images/textiles/eastershirt.jpg,,,Tops,
Tie-dye pants,4/20/2015,/assets/images/textiles/tiedyepants.jpg,,Folkwear 109 Little Folks,"Pants, Kids",
Banana pants,4/20/2015,/assets/images/textiles/bananapants.jpg,,Folkwear 109 Little Folks,"Pants, Kids",
Penguin pants,4/21/2015,/assets/images/textiles/penguinpants.jpg,,Folkwear 109 Little Folks,"Pants, Kids",
Plaid pants,4/21/2015,/assets/images/textiles/plaidpants.jpg,,Folkwear 109 Little Folks,"Pants, Kids",
Wacky animals,5/7/2015,/assets/images/textiles/wackyanimals.jpg,,,Tops,
Toddler quilt,5/7/2015,/assets/images/textiles/toddlerquilt.jpg,,,Accessories,
Superhero vests,7/27/2015,/assets/images/textiles/superherovests.jpg,,,"Accessories, Kids",
"Ottoman fetus top, 18 weeks",7/28/2015,/assets/images/textiles/ottomanfetus18.jpg,,,Tops,
Soccer fan outfit,8/4/2015,/assets/images/textiles/soccerfan.jpg,,,"Tops, Pants, Kids",
Puppy cushion,8/8/2015,/assets/images/textiles/puppycushion.jpg,,,Accessories,
Bus jacket,8/26/2015,/assets/images/textiles/busjacket.jpg,,,"Jackets, Kids",
Bus hat,9/5/2015,/assets/images/textiles/bushat.jpg,,,"Accessories, Kids",
Toddler hats,8/30/2015,/assets/images/textiles/toddlerhats.jpg,,,"Accessories, Kids",
I Am Sam shirt,9/21/2015,/assets/images/textiles/iamsam.jpg,,,"Tops, Kids",
Toddler bucket hats,9/28/2015,/assets/images/textiles/toddlerbuckethats.jpg,,,"Accessories, Kids",
Matching Renaissance outfits,10/3/2015,/assets/images/textiles/animalsbooks.jpg,,,"Tops, Pants, Kids, Matching, Custom fabric",
De humani corporis fabrica,10/3/2015,/assets/images/textiles/dehumani.jpg,/assets/images/textiles/dehumani2.jpg,,"Tops, Custom fabric",
The byrth of mankynde,10/3/2015,/assets/images/textiles/byrthmankynde.jpg,,,"Tops, Skirts, Custom fabric",
Botanical pajama pants,10/25/2015,/assets/images/textiles/botanicalpajama.jpg,,,Pants,
Apples,11/8/2015,/assets/images/textiles/apples.jpg,,Folkwear 109 Little Folks,"Pants, Vests, Kids",
Fusion kurta,11/8/2015,/assets/images/textiles/fusionkurta.jpg,,Folkwear 135 Jewels of India,Tops,
Math pirate swaddle,11/8/2015,/assets/images/textiles/mathpirateswaddle.jpg,,,"Accessories, Baby",
Cat tunic,11/15/2015,/assets/images/textiles/cattunic.jpg,,Folkwear 109 Little Folks,"Tops, Kids",
Lunch bag for Delaney,11/22/2015,/assets/images/textiles/delaney.jpg,,,Accessories,
Penguin tunic,11/22/2015,/assets/images/textiles/penguintunic.jpg,,Striped Swallow Wanderer Tunic,Tops,
Blue toddler pants,11/8/2015,/assets/images/textiles/bluetoddlerpants.jpg,,,"Pants, Kids",
Spring pants,3/30/2013,/assets/images/textiles/springpants.jpg,,,Pants,
Linguist's kid,5/26/2014,/assets/images/textiles/linguistkid.jpg,,,"Tops, Kids",
Arcata Collection 3,11/30/2012,/assets/images/textiles/arcata3.jpg,,Folkwear 102 French Cheesemaker's Smock,Tops,
Sam's lunch bag,1/4/2015,/assets/images/textiles/samlunchbag.jpg,,,Accessories,
2015 summer collection,6/29/2015,/assets/images/textiles/2015summer.jpg,,,"Tops, Pants, Kids",
Heplet Jr,6/27/2015,/assets/images/textiles/hepletjr.jpg,,,"Tops, Kids",
Caterpillar tunic,11/26/2015,/assets/images/textiles/caterpillartunic.jpg,,Striped Swallow Kids Wanderer Tunic,"Tops, Kids",
"Vest, bowtie, handkerchief",12/6/2015,/assets/images/textiles/vestbowtiehandkerchief.jpg,,,"Accessories, Kids",
Fraternal pants,12/10/2015,/assets/images/textiles/fraternalpants.jpg,,Folkwear 109 Little Folks,"Pants, Kids",
Another baby Sam,12/10/2015,/assets/images/textiles/sambabyshirt.jpg,,Folkwear 109 Little Folks,"Tops, Baby",
Brown bear tunic,12/12/2015,/assets/images/textiles/brownbeartunic.jpg,,Striped Swallow Kids Wanderer Tunic,"Tops, Kids",
Sesame Street tunic,12/14/2015,/assets/images/textiles/sesametunic.jpg,,Striped Swallow Kids Wanderer Tunic,"Tops, Kids",
Frog apple shirt,12/16/2015,/assets/images/textiles/frogappleshirt.jpg,,Folkwear 109 Little Folks,"Tops, Kids",
Frog pants,12/17/2015,/assets/images/textiles/frogpants.jpg,,Folkwear 109 Little Folks,"Pants, Kids",
Dot-dot-owl vest,12/21/2015,/assets/images/textiles/dotowlvest.jpg,,Folkwear 222 Vintage Vests,Vests,
Sam's muffin lunch bag,1/3/2016,/assets/images/textiles/sammuffinbag.jpg,,,Accessories,
