Name	Date	Image	Pattern	Tags	Notes
Watermark skirt	3/10/2010	/assets/images/textiles/watermarkskirt.jpg		Skirts, Embroidery	When I first started sewing, I was still very closely tied to medieval Slavic, my original academic field. I had a dream of creating a searchable version of the major watermark albums, leveraging vector graphics. That seeped out into trying to embroider some of my favorite watermarks onto one of my first skirts... which didn't even have pockets!
Purple outfit	3/21/2010	/assets/images/textiles/purpleoutfit.jpg		Kids, Pants, Tops	An outfit for my boss's daughter, who was really into purple. Using two fabrics I'd gotten from my (now ex-)mother-in-law. I still have a few scraps of those kicking around my fabric stash as of 2026.
Easter top	4/4/2010	/assets/images/textiles/eastertop.jpg		Tops	I wanted to sew myself a top for the Slavic department Easter party, which inevitably involved a butter lamb, so I got up super early that morning and made this.
A top for Adaline	4/8/2010	/assets/images/textiles/adalinetop.jpg		Baby, Tops	A tiny baby kimono style top for my boss's daughter. Her going on maternity leave was what made it possible for me to step into my first university IT management job.
Portuguese man o' war	5/5/2010	/assets/images/textiles/manowar.jpg		Accessories	A weird stuffed animal out of most of the remains of the 'purple outfit'. Completely freehand. I meant to make one for my own kids someday. I never did.
Purple overalls	5/9/2010	/assets/images/textiles/purpleoveralls.jpg		Pants, Kids	Toddler overalls for my boss's older daughter.
Sundress	7/12/2010	/assets/images/textiles/sundress.jpg		Dresses	My first attempt at cloning a piece of clothing I owned, out of two of my very favorite fabrics from my (now ex-)mother-in-law's stash.
Eating Ralph Lauren	7/14/2010	/assets/images/textiles/ralphlauren.jpg		Tops, Embroidery	I thought it'd be fun to embroider things onto existing pieces of clothes. So I put a watermark unicorn on this piece I got from a secondhand store.
Watermark embroidered tie	7/28/2010	/assets/images/textiles/watermarktie.jpg		Accessories, Embroidery	A tie I made for David Birnbaum, using some of my favorite medieval paper watermarks.
Surrealist elephant sisters	10/12/2010	/assets/images/textiles/surrealistelephants.jpg		Accessories	I sewed my (now ex-)husband this fluffy zebra-striped jacket thing, which was a total nightmare to work with, and then used the scraps to make two weird elephant stuffies for my boss's daughters.
xkcd shirt	11/24/2010	/assets/images/textiles/xkcdshirt.jpg		Tops, Custom fabric	One of my earliest custom fabric prints, I manually compiled it by putting together figures from over 100 xkcd comics. I loved wearing this one to work.
BBL 206 shirt	11/24/2010	/assets/images/textiles/bbl206shirt.jpg		Tops, Custom fabric, Slavic	BBL 206 is one of the famous 'Onfim' drawings in the medieval Slavic birchbark letters, of figures holding hands. Another of my first custom fabric designs used that as a motif.
xkcdphant	11/24/2010	/assets/images/textiles/xkcdphant.jpg		Accessories, Custom fabric	What do you do with scraps of xkcd fabrics? Make a stuffed elephant, of course.
Twirly Turkic	11/27/2010	/assets/images/textiles/twirlyturkic.jpg		Kids, Skirts, Custom fabric	I did a custom fabric design of Kul Tigin and the text associated with his stone head (look it up on Wikipedia) for my (now ex-)husband, then used the scraps for a skirt for my boss's daughter.
Mini medievalist skirt	11/27/2010	/assets/images/textiles/minimedievalist.jpg		Baby, Skirts, Custom fabric, Slavic	I took scraps from some other shirts I'd made for my (now ex-)husband and made them into a little skirt for my boss's infant daughter
Birchbark letter tie	11/27/2010	/assets/images/textiles/bbltie.jpg		Accessories, Custom fabric, Slavic	I made a tie out of my BBL 206 Onfim hand-holding motif.
Android hat	1/25/2011	/assets/images/textiles/androidhat.jpg		Accessories, Custom fabric	I was super obsessed with the customizability of Android phones back in the early days of smartphones so I made myself a winter hat out of the mascot.
Iconophant	4/20/2011	/assets/images/textiles/iconophant.jpg		Accessories, Custom fabric, Slavic	I did a custom fabric using icons of Slavic saints, and with scraps from other projects, made a stuffed elephant.
Giant cuddly oversized birchbark letters	4/21/2011	/assets/images/textiles/bblstuffies.jpg		Accessories, Custom fabric, Slavic	Who doesn't want to cuddle with a giant oversized cuddly medieval Slavic birchbark lettter?
Ode to literacy	5/9/2011	/assets/images/textiles/odeliteracy.jpg		Vests, Custom fabric, Kids	This was a custom fabric design I made for a Spoonflower contest on the alphabet in 2011. It tried to (roughly) trace the evolution of the shape of letters, incorporating several different alphabets that shared (usually) some common traits. I made a vest for my boss's daughter out of some scraps.
